dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
medium,standard,product_columns,joblib-pandas,0.013335666999978457,0.013181569000039417,0.014431584000021758,3
medium,standard,product_columns,pandas,0.004397367000024133,0.004354934000048161,0.005022128999939923,3
medium,standard,read_collect,dask,0.012027880000005098,0.011908408999943276,0.013062497999953848,3
medium,standard,read_collect,joblib-pandas,0.013461337000080675,0.013144699000008586,0.013762801999973817,3
medium,standard,read_collect,pandas,0.004438245999949686,0.004281475999960094,0.009340758000007554,3
medium,standard,std,dask,0.013238569000009193,0.012836844999924324,0.015073596999968686,3
medium,standard,std,joblib-pandas,0.013963486999955421,0.013760688000047594,0.014072559000055662,3
medium,standard,std,pandas,0.005677876000049764,0.0048265300000593925,0.011858174000053623,3
medium,standard,sum_columns,dask,0.013519392000034713,0.011721668999939538,0.013558661000047323,3
medium,standard,sum_columns,joblib-pandas,0.014041914000017641,0.013601863999952002,0.014947478999943087,3
medium,standard,sum_columns,pandas,0.0047510590000001685,0.00447582300000704,0.005042809999963538,3
medium,standard,value_counts,dask,0.02028738700005306,0.019207492000077764,0.021307011999965653,3
medium,standard,value_counts,joblib-pandas,0.014123092999966502,0.013580031999936182,0.014243261000046914,3
medium,standard,value_counts,pandas,0.0053591870000673225,0.005302263000089624,0.00929154200002813,3
small,filtered,count,dask,0.013828945000000203,0.013607078000063666,0.015197135999983402,3
small,filtered,count,joblib-pandas,0.012975949000065157,0.012952915000028042,0.018283012999972925,3
small,filtered,count,pandas,0.004060620000018389,0.0036417219999975714,0.004376216000082422,3
small,filtered,count_index,dask,0.01148443399995358,0.011476737999942088,0.013735468000049877,3
small,filtered,count_index,joblib-pandas,0.013092695999944226,0.013053453999987141,0.013164912999968692,3
small,filtered,count_index,pandas,0.003854186000012305,0.0037278889999470266,0.020180390000064108,3
small,filtered,groupby,dask,0.03260128099998383,0.0320822239999643,0.039965926000036234,3
small,filtered,groupby,joblib-pandas,0.01455143800001224,0.014470854000023792,0.015459598000006736,3
small,filtered,groupby,pandas,0.0074146380000001955,0.005270245000019713,0.008791057999928853,3
small,filtered,join,dask,0.014882141000043703,0.01481624300004114,0.01547461600000588,3
small,filtered,join,joblib-pandas,0.013665030999959527,0.013660733999927288,0.014985113999955502,3
small,filtered,join,pandas,0.005136478000054012,0.004481882000050064,0.0051471830000764385,3
small,filtered,join_count,dask,0.021422586999960913,0.019418728000005103,0.022121519000052103,3
small,filtered,join_count,joblib-pandas,0.013967557000000852,0.013616888999990806,0.014560031000087292,3
small,filtered,join_count,pandas,0.004945274999954563,0.0048583970000208865,0.0072455480000144235,3
small,filtered,mean,dask,0.01438364500006628,0.012976918000049409,0.015766486999950757,3
